Sextant,CAN,Device,Row,Column
1,1,P1062,R+3,C6
1,1,P0890,R+3,C5
1,1,P0875,R+4,C5
1,1,P0878,R+5,C5
1,1,FTO-201783,R+4,C6
1,1,P0995,R+3,C7
1,1,P0985,R+2,C8
1,1,P0964,R+1,C9
1,1,P0481,R+1,C8
1,1,P1006,R+2,C7
1,1,P0994,R+2,C6
1,1,P0644,R+2,C5
1,1,P1012,R+2,C4
1,1,FTO-201710,R+3,C4
1,1,P1020,R+4,C4
1,1,P0599,R+5,C4
1,1,P1126,R+6,C4
1,1,FTO-201718,R+7,C4
1,1,P1050,R+6,C5
1,1,P0500,R+5,C6
1,1,P0585,R+4,C7
1,1,P0766,R+3,C8
1,1,P1144,R+2,C9
1,1,P0361,R+1,C10
1,2,P0901,R+1,C11
1,2,None,R+2,C10
1,2,P0537,R+3,C9
1,2,P0555,R+4,C8
1,2,P1171,R+5,C7
1,2,P1070,R+6,C6
1,2,P0709,R+7,C5
1,2,P0713,R+8,C4
1,2,P0889,R+9,C3
1,2,P0963,R+8,C3
1,2,P0979,R+7,C3
1,2,P1028,R+6,C3
1,2,P0422,R+5,C3
1,2,P0926,R+4,C3
1,2,P0580,R+3,C3
1,2,P0506,R+2,C3
1,2,P0402,R+1,C3
1,2,P0707,R+1,C4
1,2,P0488,R+1,C5
1,2,P0730,R+1,C6
1,2,P0605,R+1,C7
1,3,P0998,R+1,C12
1,3,P0988,R+2,C11
1,3,P0575,R+3,C10
1,3,P0495,R+4,C9
1,3,P0600,R+5,C8
1,3,P1043,R+6,C7
1,3,P1021,R+7,C6
1,3,P0482,R+8,C5
1,3,P0441,R+9,C4
1,3,P0581,R+10,C3
1,3,P0483,R+11,C2
1,3,P0701,R+10,C2
1,3,P0683,R+9,C2
1,3,P0565,R+8,C2
1,3,P0512,R+7,C2
1,3,FTO-201784,R+6,C2
1,3,P0648,R+5,C2
1,3,P0654,R+4,C2
1,3,P0956,R+3,C2
1,3,P0968,R+2,C2
1,3,P0789,R+1,C2
1,3,P0776,R+1,C1
1,4,P0489,R+1,C13
1,4,FTO-201712,R+2,C12
1,4,P1146,R+3,C11
1,4,P1094,R+4,C10
1,4,P1287,R+5,C9
1,4,FTO-201780,R+6,C8
1,4,P1262,R+7,C7
1,4,P0849,R+8,C6
1,4,P0947,R+9,C5
1,4,FTO-201750,R+10,C4
1,4,P0668,R+11,C3
1,4,P0455,R+12,C2
1,4,P0409,R+13,C1
1,4,P0437,R+12,C1
1,4,P0635,R+11,C1
1,4,P0521,R+10,C1
1,4,P0656,R+9,C1
1,4,P0514,R+8,C1
1,4,P1264,R+7,C1
1,4,P0669,R+6,C1
1,4,P0839,R+5,C1
1,4,P0809,R+4,C1
1,4,P0486,R+3,C1
1,4,P0674,R+2,C1
2,1,P0588,R+8,C9
2,1,P0504,R+9,C8
2,1,P0692,R+9,C9
2,1,P0696,R+9,C10
2,1,FTO-201717,R+8,C10
2,1,P0606,R+7,C10
2,1,P1037,R+6,C10
2,1,P1040,R+5,C10
2,1,P0625,R+6,C9
2,1,P0415,R+7,C9
2,1,P0640,R+8,C8
2,1,P0785,R+9,C7
2,1,P0755,R+10,C6
2,1,FTO-201719,R+10,C7
2,1,P0507,R+10,C8
2,1,P0513,R+10,C9
2,1,P0786,R+10,C10
2,1,FTO-201753,R+10,C11
2,1,P0831,R+9,C11
2,1,P0638,R+8,C11
2,1,P0687,R+7,C11
2,1,P0619,R+6,C11
2,1,P0800,R+5,C11
2,1,P0536,R+4,C11
2,2,P0732,R+3,C12
2,2,P0693,R+4,C12
2,2,P0814,R+5,C12
2,2,P0604,R+6,C12
2,2,P0822,R+7,C12
2,2,P0662,R+8,C12
2,2,P0630,R+9,C12
2,2,P0667,R+10,C12
2,2,P0966,R+11,C12
2,2,P0652,R+11,C11
2,2,P0595,R+11,C10
2,2,P0584,R+11,C9
2,2,P0576,R+11,C8
2,2,P0596,R+11,C7
2,2,P0616,R+11,C6
2,2,P0909,R+11,C5
2,2,P1013,R+11,C4
2,2,P1038,R+10,C5
2,2,P0617,R+9,C6
2,2,P0452,R+8,C7
2,2,P0753,R+7,C8
2,3,P0965,R+2,C13
2,3,P0659,R+3,C13
2,3,P0499,R+4,C13
2,3,P0664,R+5,C13
2,3,P0710,R+6,C13
2,3,P0466,R+7,C13
2,3,P0520,R+8,C13
2,3,P0812,R+9,C13
2,3,P0813,R+10,C13
2,3,P0646,R+11,C13
2,3,P0614,R+12,C13
2,3,P1052,R+12,C12
2,3,P1092,R+12,C11
2,3,P1044,R+12,C10
2,3,P1023,R+12,C9
2,3,FTO-201752,R+12,C8
2,3,P0991,R+12,C7
2,3,P1003,R+12,C6
2,3,P0973,R+12,C5
2,3,P1005,R+12,C4
2,3,P1274,R+12,C3
2,3,P0554,R+13,C2
2,4,P0857,R+1,C14
2,4,FTO-201705,R+2,C14
2,4,P0877,R+3,C14
2,4,P0816,R+4,C14
2,4,P0678,R+5,C14
2,4,FTO-201700,R+6,C14
2,4,P0665,R+7,C14
2,4,P1000,R+8,C14
2,4,P1048,R+9,C14
2,4,FTO-201751,R+10,C14
2,4,P1113,R+11,C14
2,4,P0460,R+12,C14
2,4,P0463,R+13,C14
2,4,P0501,R+13,C13
2,4,P0698,R+13,C12
2,4,P0579,R+13,C11
2,4,P0577,R+13,C10
2,4,P0623,R+13,C9
2,4,P0675,R+13,C8
2,4,P0615,R+13,C7
2,4,P0586,R+13,C6
2,4,P0818,R+13,C5
2,4,P0703,R+13,C4
2,4,P0475,R+13,C3
3,1,P0804,R+5,C17
3,1,P0681,R+6,C17
3,1,P0940,R+5,C18
3,1,P0729,R+4,C19
3,1,FTO-201711,R+4,C18
3,1,P0474,R+4,C17
3,1,P0943,R+4,C16
3,1,P0954,R+4,C15
3,1,P0861,R+5,C15
3,1,P0426,R+5,C16
3,1,P0603,R+6,C16
3,1,P0434,R+7,C16
3,1,P0435,R+8,C16
3,1,FTO-201702,R+7,C17
3,1,P0398,R+6,C18
3,1,P0871,R+5,C19
3,1,P0469,R+4,C20
3,1,FTO-201707,R+3,C21
3,1,P0779,R+3,C20
3,1,P0791,R+3,C19
3,1,P0768,R+3,C18
3,1,P0765,R+3,C17
3,1,P0762,R+3,C16
3,1,P0870,R+3,C15
3,2,P0936,R+2,C15
3,2,None,R+2,C16
3,2,P0760,R+2,C17
3,2,P0912,R+2,C18
3,2,P0418,R+2,C19
3,2,P0714,R+2,C20
3,2,P0719,R+2,C21
3,2,P0828,R+2,C22
3,2,P0948,R+2,C23
3,2,P0921,R+3,C22
3,2,P0716,R+4,C21
3,2,P0721,R+5,C20
3,2,P0832,R+6,C19
3,2,P0852,R+7,C18
3,2,P0545,R+8,C17
3,2,P0450,R+9,C16
3,2,P0837,R+10,C15
3,2,P0827,R+9,C15
3,2,P0742,R+8,C15
3,2,P0752,R+7,C15
3,2,P0530,R+6,C15
3,3,P1051,R+1,C15
3,3,P1160,R+1,C16
3,3,P0932,R+1,C17
3,3,P1049,R+1,C18
3,3,P1019,R+1,C19
3,3,P1017,R+1,C20
3,3,P0951,R+1,C21
3,3,P0949,R+1,C22
3,3,P1334,R+1,C23
3,3,P0261,R+1,C24
3,3,P0231,R+1,C25
3,3,P1266,R+2,C24
3,3,P0372,R+3,C23
3,3,P1208,R+4,C22
3,3,P0190,R+5,C21
3,3,FTO-201782,R+6,C20
3,3,P0063,R+7,C19
3,3,P0375,R+8,C18
3,3,P0775,R+9,C17
3,3,P0989,R+10,C16
3,3,P0894,R+11,C15
3,3,P0508,R+12,C15
3,4,P0249,R0,C15
3,4,FTO-201514,R0,C16
3,4,P0288,R0,C17
3,4,P0610,R0,C18
3,4,P0778,R0,C19
3,4,FTO-201468,R0,C20
3,4,P0302,R0,C21
3,4,P0200,R0,C22
3,4,P0715,R0,C23
3,4,FTO-201474,R0,C24
3,4,P0660,R0,C25
3,4,P0193,R0,C26
3,4,P0170,R0,C27
3,4,P0842,R+1,C26
3,4,P0825,R+2,C25
3,4,P0417,R+3,C24
3,4,P0344,R+4,C23
3,4,P0228,R+5,C22
3,4,P0051,R+6,C21
3,4,P0840,R+7,C20
3,4,P1300,R+8,C19
3,4,P1016,R+9,C18
3,4,P1371,R+10,C17
3,4,P0038,R+11,C16
4,1,P0608,R-3,C19
4,1,P0511,R-3,C20
4,1,P0557,R-4,C19
4,1,P0598,R-5,C18
4,1,FTO-201781,R-4,C18
4,1,P0863,R-3,C18
4,1,P1198,R-2,C18
4,1,P0548,R-1,C18
4,1,P0544,R-1,C19
4,1,P0052,R-2,C19
4,1,P0160,R-2,C20
4,1,P1370,R-2,C21
4,1,P0199,R-2,C22
4,1,FTO-201080,R-3,C21
4,1,P0380,R-4,C20
4,1,P0782,R-5,C19
4,1,P0041,R-6,C18
4,1,FTO-201749,R-7,C17
4,1,P1216,R-6,C17
4,1,P0040,R-5,C17
4,1,P0316,R-4,C17
4,1,P1301,R-3,C17
4,1,P1329,R-2,C17
4,1,P0405,R-1,C17
4,2,P0462,R-1,C16
4,2,None,R-2,C16
4,2,P0593,R-3,C16
4,2,P1138,R-4,C16
4,2,P1222,R-5,C16
4,2,P0213,R-6,C16
4,2,P0333,R-7,C16
4,2,P0673,R-8,C16
4,2,P0898,R-9,C16
4,2,P0971,R-8,C17
4,2,P1007,R-7,C18
4,2,P0383,R-6,C19
4,2,P1230,R-5,C20
4,2,P1267,R-4,C21
4,2,P0192,R-3,C22
4,2,P0194,R-2,C23
4,2,P0268,R-1,C24
4,2,P0229,R-1,C23
4,2,P1252,R-1,C22
4,2,P1218,R-1,C21
4,2,P0343,R-1,C20
4,3,P1177,R-1,C15
4,3,P1195,R-2,C15
4,3,P1305,R-3,C15
4,3,P1367,R-4,C15
4,3,P0391,R-5,C15
4,3,P0571,R-6,C15
4,3,P0204,R-7,C15
4,3,P0230,R-8,C15
4,3,P0267,R-9,C15
4,3,P0322,R-10,C15
4,3,P0560,R-11,C15
4,3,P0296,R-10,C16
4,3,P0613,R-9,C17
4,3,P0382,R-8,C18
4,3,P1223,R-7,C19
4,3,FTO-201716,R-6,C20
4,3,P1030,R-5,C21
4,3,P0393,R-4,C22
4,3,P1220,R-3,C23
4,3,P0388,R-2,C24
4,3,P0793,R-1,C25
4,3,P0718,R-1,C26
4,4,P0264,R-1,C14
4,4,FTO-201520,R-2,C14
4,4,P1159,R-3,C14
4,4,P1285,R-4,C14
4,4,P0313,R-5,C14
4,4,FTO-201072,R-6,C14
4,4,P0016,R-7,C14
4,4,P0924,R-8,C14
4,4,P0826,R-9,C14
4,4,FTO-201058,R-10,C14
4,4,P0798,R-11,C14
4,4,P0895,R-12,C14
4,4,P0944,R-13,C14
4,4,P0470,R-12,C15
4,4,P0448,R-11,C16
4,4,P0805,R-10,C17
4,4,P0784,R-9,C18
4,4,P0830,R-8,C19
4,4,P0910,R-7,C20
4,4,P0493,R-6,C21
4,4,P0905,R-5,C22
4,4,P0872,R-4,C23
4,4,P0572,R-3,C24
4,4,P0562,R-2,C25
5,1,P0671,R-8,C11
5,1,P0781,R-9,C11
5,1,P0886,R-9,C10
5,1,P0891,R-9,C9
5,1,FTO-201771,R-8,C10
5,1,P1152,R-7,C11
5,1,P1163,R-6,C12
5,1,P1270,R-5,C13
5,1,P1157,R-6,C13
5,1,P0931,R-7,C12
5,1,P1024,R-8,C12
5,1,P0982,R-9,C12
5,1,P0981,R-10,C12
5,1,FTO-201770,R-10,C11
5,1,P1168,R-10,C10
5,1,P0738,R-10,C9
5,1,P0937,R-10,C8
5,1,FTO-201772,R-10,C7
5,1,P1035,R-9,C8
5,1,P1137,R-8,C9
5,1,P1074,R-7,C10
5,1,P1098,R-6,C11
5,1,P1095,R-5,C12
5,1,P0893,R-4,C13
5,2,P1089,R-3,C13
5,2,P0933,R-4,C12
5,2,P0942,R-5,C11
5,2,P0847,R-6,C10
5,2,P0868,R-7,C9
5,2,P0855,R-8,C8
5,2,P1125,R-9,C7
5,2,P1046,R-10,C6
5,2,P1069,R-11,C5
5,2,P0899,R-11,C6
5,2,P0897,R-11,C7
5,2,P0999,R-11,C8
5,2,P1036,R-11,C9
5,2,P0984,R-11,C10
5,2,P0970,R-11,C11
5,2,P0772,R-11,C12
5,2,P0823,R-11,C13
5,2,P0688,R-10,C13
5,2,P0697,R-9,C13
5,2,P0844,R-8,C13
5,2,P0992,R-7,C13
5,3,P1176,R-2,C13
5,3,P1164,R-3,C12
5,3,P0757,R-4,C11
5,3,P0885,R-5,C10
5,3,P0824,R-6,C9
5,3,P0906,R-7,C8
5,3,P0689,R-8,C7
5,3,P0626,R-9,C6
5,3,P0802,R-10,C5
5,3,P0819,R-11,C4
5,3,P0787,R-12,C3
5,3,P0902,R-12,C4
5,3,P0748,R-12,C5
5,3,P0631,R-12,C6
5,3,P0796,R-12,C7
5,3,FTO-201057,R-12,C8
5,3,P0769,R-12,C9
5,3,P0794,R-12,C10
